City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.3333,56.07,68.0,100.0,8.77,AU,1665319489.0
rikitea,-23.1203,-134.9692,71.31,66.0,10.0,17.13,PF,1665319488.0
yellowknife,62.456,-114.3525,41.56,100.0,0.0,8.05,CA,1665319498.0
cape town,-33.9258,18.4232,78.12,53.0,0.0,25.32,ZA,1665319270.0
hasaki,35.7333,140.8333,63.0,83.0,100.0,3.76,JP,1665319532.0
hithadhoo,-0.6,73.0833,81.39,75.0,90.0,13.27,MV,1665319532.0
jamestown,42.097,-79.2353,46.51,64.0,0.0,11.01,US,1665319529.0
puerto ayora,-0.7393,-90.3518,65.55,89.0,99.0,4.0,EC,1665319501.0
ponta do sol,32.6667,-17.1,78.71,65.0,79.0,3.58,PT,1665319529.0
tuktoyaktuk,69.4541,-133.0374,36.14,93.0,100.0,10.63,CA,1665319497.0
arraial do cabo,-22.9661,-42.0278,78.66,73.0,40.0,12.66,BR,1665319491.0
tuatapere,-46.1333,167.6833,54.5,72.0,100.0,9.37,NZ,1665319665.0
keuruu,62.2667,24.7,50.18,66.0,6.0,10.04,FI,1665319665.0
karakol,42.4907,78.3936,51.3,48.0,0.0,3.04,KG,1665319665.0
butaritari,3.0707,172.7902,81.55,76.0,27.0,13.82,KI,1665319491.0
kavieng,-2.5744,150.7967,81.46,68.0,92.0,14.09,PG,1665319666.0
san patricio,28.017,-97.5169,80.46,73.0,77.0,7.16,US,1665319582.0
ushuaia,-54.8,-68.3,49.66,57.0,20.0,27.63,AR,1665319490.0
rio gallegos,-51.6226,-69.2181,55.45,33.0,75.0,33.38,AR,1665319666.0
yulara,-25.2406,130.9889,66.45,21.0,5.0,9.71,AU,1665319515.0
mahebourg,-20.4081,57.7,77.29,57.0,75.0,10.36,MU,1665319517.0
aklavik,68.2191,-135.0107,31.24,96.0,78.0,2.24,CA,1665319667.0
leningradskiy,69.3833,178.4167,15.64,73.0,75.0,14.54,RU,1665319554.0
chicama,-7.8447,-79.1469,55.94,80.0,90.0,5.41,PE,1665319667.0
jijiga,9.35,42.8,75.58,40.0,99.0,12.12,ET,1665319667.0
isangel,-19.55,169.2667,73.51,83.0,30.0,5.75,VU,1665319556.0
mataura,-46.1927,168.8643,46.96,88.0,100.0,3.24,NZ,1665319492.0
bethel,41.3712,-73.414,48.56,81.0,0.0,0.0,US,1665319492.0
makakilo city,21.3469,-158.0858,77.32,77.0,100.0,5.75,US,1665319499.0
burnie,-41.0667,145.9167,46.94,67.0,26.0,9.66,AU,1665319667.0
kichera,55.9375,110.0997,32.67,89.0,100.0,1.21,RU,1665319667.0
esperance,-33.8667,121.9,59.29,80.0,100.0,8.37,AU,1665319498.0
mpraeso,6.5932,-0.7346,83.35,61.0,97.0,3.38,GH,1665319667.0
gijon,43.5357,-5.6615,73.45,84.0,63.0,5.99,ES,1665319668.0
lubango,-14.9172,13.4925,85.03,18.0,92.0,3.31,AO,1665319668.0
kulhudhuffushi,6.6221,73.07,80.78,80.0,48.0,15.52,MV,1665319668.0
hobart,-42.8794,147.3294,46.06,83.0,20.0,5.75,AU,1665319489.0
bredasdorp,-34.5322,20.0403,73.96,51.0,78.0,11.92,ZA,1665319489.0
punta arenas,-53.15,-70.9167,46.51,66.0,40.0,31.07,CL,1665319490.0
ocos,14.5094,-92.1933,77.94,78.0,100.0,5.44,GT,1665319669.0
shama,33.6102,104.2852,37.35,88.0,100.0,2.1,CN,1665319669.0
